year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2014,Ford,Taurus,SEL,Sedan,automatic,1fahp2e83eg165408,ga,4.8,14035,white,tan,"ford motor credit company",18100,19400,Sun Jan 12 2014 10:00:00 GMT-0800 (PST)
2014,Ford,Transit Connect,Wagon XLT LWB,Minivan,automatic,nm0ge9f73e1158064,fl,4.7,7952,—,beige,"ford motor credit company",21400,21400,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2014,Ford,Taurus,SE,Sedan,automatic,1fahp2d87eg134048,tx,2.8,18082,silver,beige,"ford motor credit company,llc",15200,13700,Wed Jan 07 2015 10:30:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f88eg176628,fl,4.3,12999,—,gold,"avis budget group",21100,22300,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2014,GMC,Terrain,SLT-2,SUV,automatic,2gkaltek5e6157470,tx,3.5,41355,black,black,"avis corporation",20900,21000,Wed Jan 07 2015 10:15:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f89eg141645,co,3.8,31902,—,black,"avis budget group",18300,17500,Tue Dec 23 2014 11:00:00 GMT-0800 (PST)
2014,GMC,Sierra 1500,SLE,Double Cab,automatic,1gtr1ueh2ez363400,il,4,8551,blue,gray,"gm remarketing",27200,26500,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Ford,Transit Connect,Wagon XLT LWB,Minivan,automatic,nm0ge9f71e1158032,fl,4.4,10182,gray,beige,"ford motor credit company",21000,20500,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2014,Ford,Taurus,SEL,Sedan,automatic,1fahp2e85eg165412,ga,4.8,23395,silver,beige,"ford motor credit company",16950,17900,Sun Jan 12 2014 10:00:00 GMT-0800 (PST)
2014,GMC,Sierra 1500,Denali,Crew Cab,automatic,3gtu2wec8eg417337,wi,3.9,10563,black,black,"rhinelander chrysler dodge jeep ram",42000,42700,Wed Dec 31 2014 10:00:00 GMT-0800 (PST)
2014,GMC,Sierra 1500,Base,Regular Cab,automatic,1gtn1teh5ez295439,va,4.4,6612,brown,gray,"gm financial",17900,17700,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f87eg146424,fl,4.2,30360,—,black,"avis budget group",19500,18400,Thu Feb 05 2015 01:00:00 GMT-0800 (PST)
2014,Ford,Transit Connect,Wagon XLT LWB,Minivan,automatic,nm0ge9f72e1158038,fl,4.6,10806,white,gray,"ford motor credit company",20900,21000,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2014,Ford,Transit Connect,Wagon XLT LWB,Minivan,automatic,nm0ge9f74e1158025,fl,4.8,8858,—,beige,"ford motor credit company",21300,21100,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2014,GMC,Terrain,SLE-2,SUV,automatic,2gkflwek7e6155498,sc,4.9,19213,black,black,"enterprise veh exchange/rental",21100,21500,Tue Dec 23 2014 09:15:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f83eg163575,ga,4.7,14163,white,black,"avis budget group",20800,21500,Sun Jan 12 2014 10:00:00 GMT-0800 (PST)
2014,Ford,Transit Connect,Wagon XLT LWB,Minivan,automatic,nm0ge9f75e1158860,fl,4.9,8820,—,gray,"ford motor credit company",21300,20700,Thu Jan 08 2015 01:00:00 GMT-0800 (PST)
2014,Ford,Transit Connect,Wagon XLT LWB,Minivan,automatic,nm0ge9f79e1158859,fl,4.2,7444,—,gray,"ford motor credit company",21500,21200,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f80eg149620,ga,4.7,28127,black,beige,"avis budget group",18900,19900,Sun Jan 12 2014 10:00:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f84eg179980,fl,5,17335,—,black,"avis budget group",20700,22700,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f85eg146390,fl,4.6,32516,—,black,"avis budget group",18350,18500,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2014,GMC,Sierra 1500,SLT,Crew Cab,automatic,3gtu2vec4eg141863,tx,4.4,31048,blue,brown,"winter motor company inc",34500,35300,Wed Dec 31 2014 10:20:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f82eg179296,fl,4.2,20257,—,black,"avis budget group",20100,21200,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f8xeg179319,fl,5,15218,—,black,"avis budget group",21400,21400,Thu Jan 29 2015 01:00:00 GMT-0800 (PST)
2014,Ford,Transit Connect,Wagon XLT LWB,Minivan,automatic,nm0ge9f75e1158857,fl,4.9,9773,—,gray,"ford motor credit company",20500,18900,Thu Feb 19 2015 01:00:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f85eg149550,fl,4.6,29069,—,black,"avis budget group",18850,19700,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2014,Ford,Transit Connect,Wagon XLT LWB,Minivan,automatic,nm0ge9f73e1157853,fl,4.4,10592,—,gray,"ford motor credit company",20900,21100,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f86eg161982,ga,3.7,25309,—,black,"avis budget group",19350,18900,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f82eg165415,ga,4.8,14339,silver,black,"ford motor credit company",20800,21500,Sun Jan 12 2014 10:00:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f83eg153953,ga,4.3,28314,red,black,"easy car leasing llc dba brac of birmingham",18950,19800,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
2014,GMC,Sierra 1500,Base,Regular Cab,automatic,1gtn1teh2ez139665,az,3.4,44385,white,gray,"gm financial",15600,16400,Tue Dec 23 2014 11:00:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f81eg110955,fl,2.9,39701,black,black,"international motor sports inc",17200,16700,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
2014,GMC,Sierra 1500,SLT,Crew Cab,automatic,3gtu2vec4eg309775,mo,4.2,44896,red,gray,"century sales & leasing inc",32800,34000,Tue Dec 30 2014 11:00:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f84eg146400,fl,4.5,25762,—,black,"avis budget group",19650,20300,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
2014,Ford,Taurus,SEL,Sedan,automatic,1fahp2e86eg145878,fl,5,2450,—,tan,"ford motor credit company",19700,22000,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,,1fahp2f89eg141757,pa,3.5,32021,gray,black,"avis budget group",18300,16400,Tue Dec 23 2014 09:00:00 GMT-0800 (PST)
2014,Ford,Taurus,SE,Sedan,automatic,1fahp2d86eg145879,fl,4.4,14215,—,beige,"ford motor credit company",15400,18000,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f84eg163665,ga,4.9,13157,gray,black,"avis budget group",21300,21800,Mon Jan 12 2015 10:00:00 GMT-0800 (PST)
2014,Ford,Transit Connect,Wagon XLT LWB,Minivan,automatic,nm0ge9f70e1157874,fl,4.9,9579,—,gray,"ford motor credit company",21100,20800,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f82eg149490,fl,3.7,35135,—,black,"avis budget group",18000,18600,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f82eg149618,fl,4.4,24041,—,beige,"avis budget group",19550,21000,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2014,Ford,Transit Connect,Wagon XLT LWB,Minivan,automatic,nm0ge9f73e1158078,fl,4.3,6643,—,gray,"ford motor credit company",21700,21900,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
