year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2006,Mercedes-Benz,E-Class,E350 4MATIC,Sedan,automatic,wdbuf87j36x198214,ga,1.9,96336,silver,gray,"royal auto sales",7775,7300,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2006,MINI,Cooper,S,Hatchback,automatic,wmwre33576tg99863,fl,3.4,44409,green,black,"carisma auto wholesaler inc",7475,8600,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2006,Nissan,Pathfinder,LE,SUV,,5n1ar18u56c649688,fl,3.1,111960,silver,black,"g h n leasing corporation",6650,8500,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2006,Nissan,Titan,LE,Crew Cab,automatic,1n6aa07a46n570544,ga,3.1,118826,red,gray,"contemporary auto sales",8100,10000,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2006,Nissan,Maxima,3.5 SE,Sedan,automatic,1n4ba41e76c811234,ma,2.3,104219,black,gray,"clay nissan",4725,3500,Tue Mar 10 2015 03:00:00 GMT-0700 (PDT)
2006,Nissan,Sentra,1.8 S,Sedan,automatic,3n1cb51d56l475518,ma,3.2,48719,black,black,"route 6 auto mall kia",4925,5400,Tue Mar 10 2015 03:00:00 GMT-0700 (PDT)
2006,Nissan,Armada,SE,SUV,,5n1aa08a66n702510,ga,3.5,130897,white,gray,"north atlanta auto superstore",7600,8800,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2006,Nissan,Murano,SL,SUV,automatic,jn8az08w16w549624,md,4.3,193516,silver,black,"autonation toyota scion leesburg",3175,4400,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2006,Nissan,Maxima,3.5 SL,Sedan,automatic,1n4ba41e86c822193,pa,3.8,103369,blue,beige,"car sense inc",5400,7300,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2006,Pontiac,G6,Base,Sedan,automatic,1g2zg558064291135,ga,2.8,122416,gray,black,"kern automotive group inc",3650,5500,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2006,Toyota,4Runner,SR5,SUV,automatic,jtezu14r068064233,nc,2.6,105866,white,gray,"westfall auto sales",10850,10800,Tue Mar 10 2015 02:15:00 GMT-0700 (PDT)
2006,Pontiac,Solstice,Base,Convertible,automatic,1g2mb35b36y119859,il,4.1,137874,gray,black,"remarketing by ge/manheim arena illinois",4650,4900,Tue Mar 10 2015 03:00:00 GMT-0700 (PDT)
2006,Toyota,Corolla,S,Sedan,automatic,2t1br32e26c672021,mo,1.9,77663,white,black,"jc auto connection llc",5775,5700,Tue Mar 10 2015 04:00:00 GMT-0700 (PDT)
2006,Pontiac,Torrent,Base,SUV,automatic,2ckdl63f166093776,il,3.4,102194,white,black,"tdaf remarketing",4600,6050,Tue Mar 10 2015 04:00:00 GMT-0700 (PDT)
2006,Pontiac,Torrent,Base,SUV,automatic,2ckdl63f266061581,oh,2.8,129732,gold,beige,"mentor mitsubishi",3725,4300,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2006,Saturn,ION,3,Sedan,automatic,1g8al55f36z126776,mo,2,156062,black,brown,"napleton's mid rivers kia",1850,2200,Tue Mar 10 2015 04:00:00 GMT-0700 (PDT)
2006,Toyota,RAV4,Sport,SUV,automatic,jtmbd32v565030727,md,1.9,157640,white,black,"darcars toyota",5800,6300,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2005,Audi,A4,2.0T quattro,Sedan,automatic,waudf68e95a484882,oh,4.3,83140,white,black,"pauley motor car co preowned vehicles llc",5550,8100,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2005,Acura,RSX,Type-S,Hatchback,manual,jh4dc53045s004340,fl,2,117622,silver,black,"remarketing by ge/coc llc",5750,5100,Tue Mar 10 2015 04:05:00 GMT-0700 (PDT)
2005,BMW,3 Series,330xi,Sedan,automatic,wbaew534x5pn38362,nc,2.7,122917,gray,black,"gardner motors inc",6000,6200,Tue Mar 10 2015 03:00:00 GMT-0700 (PDT)
2005,BMW,3 Series,330Ci,Convertible,automatic,wbabw53415pl48470,fl,2.8,72365,black,black,"tdaf remarketing",9100,9400,Tue Mar 10 2015 02:00:00 GMT-0700 (PDT)
2005,Chevrolet,Malibu,LS,Sedan,automatic,1g1zt54895f208466,tx,2,187909,silver,gray,"automotive remarketing inc",1975,1500,Tue Mar 10 2015 03:30:00 GMT-0700 (PDT)
2005,Chevrolet,Uplander,Base,Minivan,automatic,1gndv03l05d276713,fl,2.9,55442,white,gray,"woodall auto wholesale inc",3725,7400,Tue Mar 10 2015 02:15:00 GMT-0700 (PDT)
2005,Chevrolet,Malibu,LS,Sedan,automatic,1g1zt54805f173400,md,3.2,128019,blue,gray,"ourisman of clarksville inc",2800,2400,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2005,Chevrolet,Colorado,Z85 LS Base,Crew Cab,automatic,1gcdt136458137658,pa,2.5,152018,red,black,"peruzzi nissan",6525,5900,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2005,Chevrolet,Venture,LS,Minivan,automatic,1gndv23e15d134755,ma,1.9,213841,beige,tan,"international motor group annex",1075,400,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
